movie_id,title,release_date,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
105,The Shadow,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
106,Fall of Journey,01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107,Fall of Night 2,01-Jan-1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,Lost Sun,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,A Shadow,01-Jan-1995,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
110,Return of Ocean,01-Jan-1995,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
111,Hidden Ocean 3,01-Jan-1995,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,The Fire 2,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,The Star,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
114,Rise of Light,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,Lost Sun,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
116,Return of War,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117,Return of Sun,01-Jan-1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,Last Sun 4,01-Jan-1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Rise of Love,01-Jan-1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
120,A Moon,01-Jan-1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,Silent War,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Silent Star,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
123,Rise of War,01-Jan-1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
124,Dark Gate 2,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,A Love,01-Jan-1995,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
126,Lost Moon,01-Jan-1995,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
127,Lost Gate,01-Jan-1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
128,A Love,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Fall of Journey,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
130,Last Gate 3,01-Jan-1995,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
131,Lost Light,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Hidden Dream,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
133,Dark Storm,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
134,Lost Dream,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
135,A Gate,01-Jan-1995,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
136,A Fire,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
137,Dark Gate,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,Fall of Ocean,01-Jan-1995,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
139,Dark Night 3,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
140,Fall of Moon,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,The Fire,01-Jan-1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
142,Dark Forest,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,Last River,01-Jan-1995,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
144,Rise of Desert,01-Jan-1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Return of Shadow,01-Jan-1995,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
146,Hidden Gate,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
147,Fall of War 2,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
148,Return of Storm,01-Jan-1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
149,Hidden Shadow 3,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,Hidden Dream,01-Jan-1995,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
151,Dark Mountain,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,Return of Storm,01-Jan-1995,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
153,A Sun,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
154,Lost River,01-Jan-1995,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
155,A River 2,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
156,Lost Ocean 3,01-Jan-1995,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
157,Silent Sky,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
158,Lost Sun,01-Jan-1995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
159,Lost River,01-Jan-1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
160,Silent River,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,Rise of Love,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Lost Mountain,01-Jan-1995,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
163,Fall of River,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,Rise of Love 3,01-Jan-1995,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
165,Lost Shadow,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
166,Dark City 2,01-Jan-1995,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
167,A Sun,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Lost River,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
169,Rise of Sun,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
170,Hidden Storm,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
171,Hidden Moon,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Last Fire,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
173,Dark Ocean,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
174,Lost Sky,01-Jan-1995,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
175,Silent War,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,Silent Storm,01-Jan-1995,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
177,Dark Night,01-Jan-1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
178,Return of Sky,01-Jan-1995,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
179,Dark Forest,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,The Shadow,01-Jan-1995,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
181,Return of River,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
182,Fall of Moon,01-Jan-1995,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
183,Silent Gate,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
184,Dark Love,01-Jan-1995,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
185,Dark Love,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Silent Storm,01-Jan-1995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
187,The Star,01-Jan-1995,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
188,A Journey,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
189,Rise of Dream,01-Jan-1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
190,Hidden City,01-Jan-1995,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
191,Silent Light,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
192,Rise of River,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
193,Last Night,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,A Night,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
195,A Forest,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Hidden Moon 3,01-Jan-1995,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
197,Rise of Shadow,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
198,Rise of Light,01-Jan-1995,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
199,Fall of Sky,01-Jan-1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
200,Hidden Journey,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
201,Dark Star,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
202,Last Storm 4,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Silent Light,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
204,Last River,01-Jan-1995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
205,Dark Night,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
206,Fall of Sky,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207,Lost Mountain,01-Jan-1995,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
208,Hidden Love,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
209,Rise of Shadow,01-Jan-1995,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210,Silent War,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
211,Hidden Sky,01-Jan-1995,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
212,Last Storm,01-Jan-1995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Last Night,01-Jan-1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
214,Last Love,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
215,Hidden Love,01-Jan-1995,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
216,Lost Dream,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
217,Dark Mountain 4,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
218,Rise of Mountain,01-Jan-1995,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
219,Silent River,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
220,A Fire,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
221,Rise of Fire,01-Jan-1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Last Mountain,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
223,Last Sun,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Lost Gate,01-Jan-1995,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
225,Silent Love,01-Jan-1995,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
226,Rise of Light,01-Jan-1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
227,Last Light,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
228,Return of Dream,01-Jan-1995,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
229,Silent Love,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230,Lost Sky,01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
231,A Dream,01-Jan-1995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
232,Last Night,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
233,Lost City,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
234,The Ocean,01-Jan-1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
235,Return of Mountain,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
236,Hidden Fire 2,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
237,Silent Gate,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
238,The Love,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
239,Silent Light,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
240,Dark Mountain,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
241,The City 4,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
242,Fall of Shadow 4,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
243,A Ocean,01-Jan-1995,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
244,Hidden Sky,01-Jan-1995,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
245,Rise of Desert,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
246,Silent Fire,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
247,Dark Fire,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
248,The Sky,01-Jan-1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
249,A Dream,01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
250,Fall of Shadow,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
251,Return of Ocean,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
252,Dark River 2,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,Silent Fire,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
254,Fall of River 3,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
255,Fall of Forest 2,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
256,Rise of Sun,01-Jan-1995,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
257,Return of Love 2,01-Jan-1995,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
258,A Journey,01-Jan-1995,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
259,Fall of Sky,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
260,Hidden Fire,01-Jan-1995,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
261,Silent Fire,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
262,Fall of Desert,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
263,Silent Shadow,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
264,Dark Gate,01-Jan-1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
265,The Shadow,01-Jan-1995,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
266,Hidden Forest,01-Jan-1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
267,Fall of Forest,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
